
       LIST OF MIKE'S ITEMS 
DESCRIPTION    QUANTITY  UNIT PRICE                                  
Food              100       3                   
Sword             1         15                  
Shield            1         10                   
Orb               1         20                
Coin              10        0                  
Wood cutting axe  1         10                             
Hatchet           1         5                    
Battle Axe        1         15                       
Father's Sword    1         0                           
Body Armor        1         20                       
Birth Certificate 1         0                              
Hunting Bow       1         10                        
